timestamp,open,high,low,close,volume
2021-01-01 01:00:00,156.99,160.41,156.99,159.95,8497.019
2021-01-01 02:00:00,159.97,161.44,159.81,161.35,4748.275
2021-01-01 03:00:00,161.29,161.63,159.6,159.75,4474.053
2021-01-01 04:00:00,159.76,160.47,159.59,159.79,2377.115
2021-01-01 05:00:00,159.79,160.11,159.06,160.01,3529.276
2021-01-01 06:00:00,159.98,160.81,158.52,159.34,2856.368
2021-01-01 07:00:00,159.35,159.62,157.26,158.62,4852.653
2021-01-01 08:00:00,158.68,158.92,157.0,158.54,4446.034
2021-01-01 09:00:00,158.48,162.31,158.47,161.47,5681.618
2021-01-01 10:00:00,161.49,164.1,161.27,164.0,6746.884
2021-01-01 11:00:00,164.07,165.78,163.71,164.05,7818.939
2021-01-01 12:00:00,164.06,165.79,163.1,163.62,5781.052
2021-01-01 13:00:00,163.57,164.99,163.25,164.9,4754.343
2021-01-01 14:00:00,164.9,166.77,164.63,166.46,7304.02
2021-01-01 15:00:00,166.47,168.09,166.28,167.27,7968.122
2021-01-01 16:00:00,167.25,168.99,166.97,167.6,7189.523
2021-01-01 17:00:00,167.64,167.78,153.77,155.75,88066.979
2021-01-01 18:00:00,155.75,157.91,138.47,145.57,344061.013
2021-01-01 19:00:00,145.53,145.95,139.06,140.75,98075.046
2021-01-01 20:00:00,140.75,143.09,135.65,137.89,101603.02
2021-01-01 21:00:00,137.85,138.18,130.04,132.81,117624.939
2021-01-01 22:00:00,132.82,134.82,131.54,133.39,83645.344
2021-01-01 23:00:00,133.37,139.07,133.17,135.79,90811.398
2021-01-02 00:00:00,135.72,135.78,130.73,131.05,88004.473
2021-01-02 01:00:00,131.12,133.0,128.19,131.09,85804.276
2021-01-02 02:00:00,131.09,133.26,128.95,131.88,57806.09
2021-01-02 03:00:00,131.89,136.7,131.86,133.84,43718.073
2021-01-02 04:00:00,133.82,135.95,133.05,135.72,23654.714
2021-01-02 05:00:00,135.7,137.98,134.65,134.88,30969.028
2021-01-02 06:00:00,134.79,135.67,133.11,134.47,40685.273
2021-01-02 07:00:00,134.45,136.92,134.22,134.45,19879.825
2021-01-02 08:00:00,134.48,135.3,133.35,133.66,22430.646
2021-01-02 09:00:00,133.62,133.8,131.63,132.29,23532.877
2021-01-02 10:00:00,132.28,134.84,132.05,132.82,26089.846
2021-01-02 11:00:00,132.74,134.65,132.73,134.46,12377.206
2021-01-02 12:00:00,134.48,138.81,133.79,138.65,66857.676
2021-01-02 13:00:00,138.75,141.71,137.25,139.74,52304.611
2021-01-02 14:00:00,139.75,142.56,138.21,142.51,37751.932
2021-01-02 15:00:00,142.51,143.18,141.33,141.5,35602.785
2021-01-02 16:00:00,141.52,145.36,139.5,144.61,42256.804
2021-01-02 17:00:00,144.54,145.2,142.82,143.3,20621.666
2021-01-02 18:00:00,143.34,144.12,141.45,141.63,14727.254
2021-01-02 19:00:00,141.63,144.68,141.3,143.34,14055.474
2021-01-02 20:00:00,143.34,144.02,137.65,138.88,29374.899
2021-01-02 21:00:00,138.86,142.81,135.18,141.34,46809.428
2021-01-02 22:00:00,141.45,144.58,140.66,143.88,13475.935
2021-01-02 23:00:00,143.89,144.47,142.18,143.32,16432.236
2021-01-03 00:00:00,143.45,144.89,143.0,144.11,10620.63
2021-01-03 01:00:00,144.07,144.42,143.0,143.18,7349.05
2021-01-03 02:00:00,143.22,143.65,142.7,143.24,6141.589
2021-01-03 03:00:00,143.22,143.61,142.7,142.7,6477.266
2021-01-03 04:00:00,142.7,143.5,142.4,142.41,7831.548
2021-01-03 05:00:00,142.4,143.47,140.88,141.15,9006.958
2021-01-03 06:00:00,141.12,142.62,140.99,142.21,8942.579
2021-01-03 07:00:00,142.22,143.36,139.12,139.35,14579.437
2021-01-03 08:00:00,139.26,139.66,136.17,139.27,23535.934
2021-01-03 09:00:00,139.23,140.41,137.76,138.36,12698.623
2021-01-03 10:00:00,138.4,138.99,136.26,137.12,14360.005
2021-01-03 11:00:00,137.06,139.66,136.98,138.61,14624.716
2021-01-03 12:00:00,138.61,140.39,138.4,138.73,11646.65
2021-01-03 13:00:00,138.75,139.43,136.6,139.08,17563.427
2021-01-03 14:00:00,139.08,139.14,135.4,136.15,28230.595
2021-01-03 15:00:00,136.14,136.62,131.55,132.32,45444.944
2021-01-03 16:00:00,132.33,134.81,132.33,132.69,21643.444
2021-01-03 17:00:00,132.67,139.16,132.01,136.34,48817.373
2021-01-03 18:00:00,136.45,137.04,133.98,136.82,16668.56
2021-01-03 19:00:00,136.86,137.58,135.44,137.27,13752.609
2021-01-03 20:00:00,137.24,139.38,136.62,138.92,12662.824
2021-01-03 21:00:00,138.92,139.42,138.28,138.91,8347.492
2021-01-03 22:00:00,138.97,140.22,138.0,139.36,9896.769
2021-01-03 23:00:00,139.33,141.49,137.46,138.73,18833.099
2021-01-04 00:00:00,138.8,142.0,138.8,141.85,11611.951
2021-01-04 01:00:00,141.84,142.75,141.42,142.62,6997.89
2021-01-04 02:00:00,142.6,143.14,140.0,140.12,15517.172
2021-01-04 03:00:00,140.01,141.88,139.42,141.42,11269.872
2021-01-04 04:00:00,141.45,141.92,139.83,141.92,10304.814
2021-01-04 05:00:00,141.9,144.47,141.34,143.43,15814.936
2021-01-04 06:00:00,143.46,144.83,141.87,142.95,23744.195
2021-01-04 07:00:00,142.99,143.54,138.9,139.95,118548.984
2021-01-04 08:00:00,140.01,142.18,136.56,140.18,63176.203
2021-01-04 09:00:00,140.12,140.42,132.52,136.6,83465.414
2021-01-04 10:00:00,136.61,136.92,129.04,135.8,43998.115
2021-01-04 11:00:00,135.81,135.89,132.4,135.52,10283.219
2021-01-04 12:00:00,135.52,137.43,134.54,137.36,13665.083
2021-01-04 13:00:00,137.36,137.4,134.09,136.81,9360.09
2021-01-04 14:00:00,136.98,137.4,135.45,137.18,12444.802
2021-01-04 15:00:00,137.15,137.29,135.38,136.53,10210.471
2021-01-04 16:00:00,136.5,136.95,133.7,135.41,22197.045
2021-01-04 17:00:00,135.43,136.0,131.48,132.61,10006.827
2021-01-04 18:00:00,132.6,133.21,132.02,132.54,6320.43
