symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,market_conditions
UNIUSDT,long,2025-06-10 23:30:00,8.507251499999999,2025-06-11 00:40:00,8.434982324249999,-0.5385780386940722,-0.04489937087302073,stopped,early_trend,90,1.1666666666666667,Off-Hours,"{'atr_percentile': np.float64(69.0), 'adx_value': np.float64(25.950199389745574), 'ema_slope': np.float64(0.2867973884639604)}"
AAVEUSDT,long,2025-06-11 14:05:00,313.446645,2025-06-11 17:50:00,308.43126,-16.072253543249943,-1.7091961050500255,stopped,early_trend,85,3.75,London Session + NY Session,"{'atr_percentile': np.float64(64.0), 'adx_value': np.float64(32.70225023320928), 'ema_slope': np.float64(0.1120041957294026)}"
JUPUSDT,short,2025-06-12 16:35:00,0.4515741,2025-06-12 17:40:00,0.4588083499999999,-20.373885555314846,-1.712888393621322,stopped,early_trend,89,1.0833333333333333,London Session + NY Session,"{'atr_percentile': np.float64(71.0), 'adx_value': np.float64(25.180460889421266), 'ema_slope': np.float64(0.07342644982113683)}"
ONDOUSDT,short,2025-06-14 17:15:00,0.7772112,2025-06-15 00:50:00,0.7896588699999999,-20.163814535827363,-1.7124622674634529,stopped,early_trend,87,7.583333333333333,NY Session,"{'atr_percentile': np.float64(56.99999999999999), 'adx_value': np.float64(28.425525208686448), 'ema_slope': np.float64(0.06387750756595657)}"
LTCUSDT,short,2025-06-14 17:15:00,84.867545,2025-06-15 04:25:00,86.128042,-20.3181685927498,-1.5960689953385436,stopped,early_trend,89,11.166666666666666,NY Session,"{'atr_percentile': np.float64(56.99999999999999), 'adx_value': np.float64(27.734702854895026), 'ema_slope': np.float64(0.040103266325254)}"
TONUSDT,short,2025-06-14 17:15:00,2.9269358,2025-06-15 04:35:00,2.9737707999999996,-20.132316229259892,-1.7110176666669537,stopped,early_trend,85,11.333333333333334,NY Session,"{'atr_percentile': np.float64(75.0), 'adx_value': np.float64(45.02097510407878), 'ema_slope': np.float64(0.05713607271964862)}"
ADAUSDT,short,2025-06-14 17:15:00,0.6222887,2025-06-15 05:35:00,0.6322516199999999,-20.16597221416776,-1.7118930772806695,stopped,early_trend,88,12.333333333333334,NY Session,"{'atr_percentile': np.float64(57.99999999999999), 'adx_value': np.float64(35.27880921300555), 'ema_slope': np.float64(0.07117081067263635)}"
TAOUSDT,short,2025-06-18 13:50:00,342.838495,2025-06-18 14:00:00,348.32797999999997,-17.608879683749834,-1.7120675323376227,stopped,early_trend,92,0.16666666666666666,London Session + NY Session,"{'atr_percentile': np.float64(62.0), 'adx_value': np.float64(35.106638851145625), 'ema_slope': np.float64(0.036361381287874014)}"
AVAXUSDT,short,2025-06-18 13:50:00,18.2758575,2025-06-18 14:10:00,18.56855,-19.090372371624852,-1.7124062393515467,stopped,early_trend,92,0.3333333333333333,London Session + NY Session,"{'atr_percentile': np.float64(69.0), 'adx_value': np.float64(34.245669746087536), 'ema_slope': np.float64(0.026353596618971745)}"
APTUSDT,short,2025-06-18 13:50:00,4.31654065,2025-06-18 14:10:00,4.3856813,-19.294913610922393,-1.712641628256173,stopped,early_trend,92,0.3333333333333333,London Session + NY Session,"{'atr_percentile': np.float64(68.0), 'adx_value': np.float64(40.09697060011292), 'ema_slope': np.float64(0.05472523588711766)}"
