symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,market_conditions
LTCUSDT,short,2024-04-15 15:25:00,79.30033,2024-04-16 21:20:00,79.97506016499999,-0.5017828232692247,-0.045197327972678114,stopped,strong_trend,92,29.916666666666668,London Session + NY Session,"{'atr_percentile': np.float64(75.0), 'adx_value': np.float64(30.897052947834933), 'ema_slope': np.float64(0.11511165432800613)}"
SOLUSDT,short,2024-04-17 13:30:00,132.67263050000003,2024-04-17 13:35:00,134.79466,-18.153092078199748,-1.7103275191147793,stopped,strong_trend,92,0.08333333333333333,London Session + NY Session,"{'atr_percentile': np.float64(57.99999999999999), 'adx_value': np.float64(34.38636976238546), 'ema_slope': np.float64(0.09402370647457241)}"
ZECUSDT,short,2024-04-17 14:40:00,20.48975,2024-04-17 17:40:00,20.817797,-19.292138296749886,-1.7119103495650163,stopped,early_trend,92,3.0,London Session + NY Session,"{'atr_percentile': np.float64(72.0), 'adx_value': np.float64(33.57488098700262), 'ema_slope': np.float64(0.10635092354911752)}"
LINKUSDT,short,2024-04-17 14:40:00,13.15342,2024-04-17 18:00:00,13.26546221,-0.5070686121880881,-0.04482595897758804,stopped,early_trend,92,3.3333333333333335,London Session + NY Session,"{'atr_percentile': np.float64(72.0), 'adx_value': np.float64(26.993442962797165), 'ema_slope': np.float64(0.08813601290225984)}"
HBARUSDT,short,2024-04-17 14:40:00,0.077871045,2024-04-17 18:00:00,0.07853347752249999,-0.5118830149761511,-0.045122669361451,stopped,early_trend,92,3.3333333333333335,London Session + NY Session,"{'atr_percentile': np.float64(67.0), 'adx_value': np.float64(27.19996082604698), 'ema_slope': np.float64(0.07753801768841165)}"
DOGEUSDT,short,2024-04-18 08:30:00,0.14325833500000001,2024-04-18 09:10:00,0.14555541,-21.348146720073554,-1.7143313579276078,stopped,early_trend,88,0.6666666666666666,Asian Session + London Session,"{'atr_percentile': np.float64(50.0), 'adx_value': np.float64(23.247962691822995), 'ema_slope': np.float64(0.12722448509297227)}"
XMRUSDT,short,2024-04-17 14:40:00,121.02945500000001,2024-04-19 02:05:00,112.03599,52.91231431432516,4.857615887739903,completed,early_trend,92,35.416666666666664,London Session + NY Session,"{'atr_percentile': np.float64(72.0), 'adx_value': np.float64(30.76886465576079), 'ema_slope': np.float64(0.06704533763917529)}"
ADAUSDT,short,2024-04-25 10:35:00,0.46566705,2024-04-25 12:10:00,0.47312265,-19.53921105508488,-1.7119386770010785,stopped,early_trend,90,1.5833333333333333,London Session,"{'atr_percentile': np.float64(52.0), 'adx_value': np.float64(33.608294276586136), 'ema_slope': np.float64(0.11850419285002826)}"
ARBUSDT,short,2024-04-25 03:25:00,1.1012491,2024-04-25 21:15:00,1.1106340745499999,-0.5037525074995415,-0.04423959226860519,stopped,early_trend,94,17.833333333333332,Asian Session,"{'atr_percentile': np.float64(68.0), 'adx_value': np.float64(44.32311576007635), 'ema_slope': np.float64(0.10046390996146808)}"
AVAXUSDT,short,2024-04-26 01:40:00,35.225378500000005,2024-04-26 02:15:00,35.789753999999995,-19.309882331999678,-1.7130655469748604,stopped,early_trend,92,0.5833333333333334,Asian Session,"{'atr_percentile': np.float64(50.0), 'adx_value': np.float64(29.036829296024987), 'ema_slope': np.float64(0.06642625875902065)}"
SUIUSDT,short,2024-04-25 02:20:00,1.2411791,2024-04-27 01:10:00,1.14867405,55.57045760370236,4.8718511154232385,completed,early_trend,95,46.833333333333336,Asian Session,"{'atr_percentile': np.float64(62.0), 'adx_value': np.float64(36.583308170856114), 'ema_slope': np.float64(0.09057761233847736)}"
ARBUSDT,short,2024-04-29 17:00:00,1.0482756,2024-04-29 23:20:00,1.065064,-19.69195824766004,-1.712406239351563,stopped,early_trend,95,6.333333333333333,NY Session,"{'atr_percentile': np.float64(65.0), 'adx_value': np.float64(29.20885580493219), 'ema_slope': np.float64(0.07750173864549668)}"
AVAXUSDT,short,2024-04-30 14:00:00,32.7366235,2024-04-30 14:45:00,33.261227999999996,-19.07071282304984,-1.7133817063479235,stopped,early_trend,93,0.75,London Session + NY Session,"{'atr_percentile': np.float64(62.0), 'adx_value': np.float64(60.39531250650974), 'ema_slope': np.float64(0.1977765833805279)}"
ARBUSDT,short,2024-05-09 11:15:00,1.009495,2024-05-09 15:05:00,1.0256245999999998,-19.301536757819715,-1.7086677774530576,stopped,early_trend,92,3.8333333333333335,London Session,"{'atr_percentile': np.float64(50.0), 'adx_value': np.float64(39.90668141544945), 'ema_slope': np.float64(0.052614617820312556)}"
ETHUSDT,long,2024-05-21 13:30:00,3788.983545,2024-05-21 17:45:00,3728.4178500000003,-64.70026576724977,-1.7075889878864536,stopped,early_trend,90,4.25,London Session + NY Session,"{'atr_percentile': np.float64(66.0), 'adx_value': np.float64(51.32515889242614), 'ema_slope': np.float64(0.18124810007483605)}"
AAVEUSDT,long,2024-05-24 05:15:00,101.03049,2024-05-24 05:40:00,99.415485,-17.252502862499966,-1.7076530919032429,stopped,early_trend,92,0.4166666666666667,Asian Session,"{'atr_percentile': np.float64(75.0), 'adx_value': np.float64(34.603988121662205), 'ema_slope': np.float64(0.061679965592122465)}"
