symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours
SUIUSDT,long,2026-01-03 06:30:00,1.67333625,2026-01-03 06:45:00,1.6467516,-20.48411348691749,-1.6978475376661437,stopped,trending,85,0.25
SUIUSDT,long,2026-01-03 10:10:00,1.64152035,2026-01-03 20:05:00,1.642338647894475,-0.7053067318179583,-0.06017741749999556,stopped,trending,88,9.916666666666666
BTCUSDT,long,2026-01-03 18:40:00,90148.55175,2026-01-03 20:45:00,90193.49080304737,-54.249070356800424,-0.0601774174999993,stopped,trending,85,2.0833333333333335
LINKUSDT,long,2026-01-04 13:00:00,13.438716,2026-01-04 15:50:00,13.445415199925998,-1.3343669186035063,-0.06017741750001,stopped,trending,92,2.8333333333333335
SUIUSDT,long,2026-01-04 18:30:00,1.7186588999999999,2026-01-04 19:05:00,1.6941042,-20.008811816684947,-1.5379270258339182,stopped,trending,92,0.5833333333333334
AVAXUSDT,long,2026-01-04 13:45:00,14.1060495,2026-01-04 21:00:00,14.11308136567575,-1.0950366627478036,-0.06017741749999227,stopped,trending,94,7.25
SUIUSDT,long,2026-01-06 13:35:00,1.98609255,2026-01-06 14:50:00,1.9503477,-19.18240542157497,-1.9087676522174124,stopped,trending,91,1.25
AVAXUSDT,long,2026-01-06 14:00:00,14.611301999999998,2026-01-06 15:40:00,14.437548,-20.301202822499878,-1.2985212919423532,stopped,trending,90,1.6666666666666667
HBARUSDT,long,2026-01-06 20:00:00,0.12674333999999998,2026-01-07 00:50:00,0.12680652155498998,-0.6141126994673362,-0.06017741750000481,stopped,trending,86,4.833333333333333
XRPUSDT,long,2026-01-06 20:50:00,2.26002945,2026-01-07 01:15:00,2.2611560746808252,-0.6328443015549725,-0.06017741749999877,stopped,trending,86,4.416666666666667
SUIUSDT,long,2026-01-06 21:00:00,1.85762835,2026-01-07 01:20:00,1.858554377732475,-0.5475373458460953,-0.06017741750000186,stopped,trending,86,4.333333333333333
SUIUSDT,long,2026-01-08 18:30:00,1.8386188499999998,2026-01-09 01:35:00,1.7982999,-18.366556805624935,-2.3016872318316466,stopped,trending,92,7.083333333333333
SOLUSDT,long,2026-01-09 07:15:00,140.13003,2026-01-09 08:00:00,138.80106,-19.27096729349998,-1.0578618298304785,stopped,trending,93,0.75
SOLUSDT,long,2026-01-09 15:50:00,138.32913,2026-01-09 18:25:00,136.02384,-17.193288934499897,-1.7756087481356857,stopped,high_volatility,100,2.5833333333333335
SUIUSDT,long,2026-01-09 15:40:00,1.8178084499999998,2026-01-10 22:55:00,1.7793188999999998,-18.08918260899749,-2.226195507150381,stopped,high_volatility,94,31.25
SUIUSDT,long,2026-01-12 00:00:00,1.7924958,2026-01-12 00:50:00,1.7679303,-20.803153628481724,-1.479709707269608,stopped,trending,95,0.8333333333333334
SUIUSDT,long,2026-01-12 00:55:00,1.7901946499999999,2026-01-12 01:35:00,1.7910870620330248,-0.6873919856099358,-0.060177417500004174,stopped,trending,89,0.6666666666666666
AVAXUSDT,long,2026-01-12 00:00:00,13.680836999999999,2026-01-12 03:15:00,14.152920000000002,36.43629325634509,2.0383357368595334,completed,trending,88,3.25
BNBUSDT,long,2026-01-12 14:45:00,900.680115,2026-01-12 17:30:00,900.4542694611638,8.918067859354423,0.2866920086667035,stopped,trending,88,2.75
AVAXUSDT,long,2026-01-12 14:50:00,13.5997965,2026-01-12 19:00:00,13.606575998555249,11.872543014716145,0.812511660123166,stopped,trending,85,4.166666666666667
SOLUSDT,long,2026-01-12 14:30:00,139.859895,2026-01-12 21:00:00,139.720035105,23.91200690267346,1.308591940054338,stopped,trending,85,6.5
BNBUSDT,long,2026-01-13 07:50:00,912.666105,2026-01-13 09:40:00,907.35174,-26.48171177308257,-0.6919699088364925,stopped,trending,85,1.8333333333333333
ADAUSDT,long,2026-01-13 14:00:00,0.3933966,2026-01-13 15:55:00,0.40577701000000005,36.82978682889471,1.8489658603302694,completed,trending,87,1.9166666666666667
LINKUSDT,long,2026-01-13 14:00:00,13.304649,2026-01-13 16:00:00,13.6321805,35.955070924609686,1.4194016668534573,completed,trending,89,2.0
SOLUSDT,long,2026-01-13 09:40:00,141.53073,2026-01-13 22:10:00,146.04694,36.91325690962377,1.8772106687890366,completed,trending,88,12.5
SUIUSDT,long,2026-01-14 15:00:00,1.83321615,2026-01-14 15:35:00,1.8341300082507748,-0.6155756320348049,-0.060177417500008996,stopped,trending,100,0.5833333333333334
ADAUSDT,long,2026-01-13 22:00:00,0.41010494999999997,2026-01-14 18:45:00,0.40969484505,18.312455417072737,2.00597912417774,stopped,trending,96,20.75
ETHUSDT,long,2026-01-14 20:00:00,3365.66199,2026-01-15 01:35:00,3312.31437,-57.020506998,-1.694184002060171,stopped,trending,100,5.583333333333333
ETHUSDT,long,2026-01-15 13:30:00,3359.328825,2026-01-15 14:40:00,3332.0646,-30.9444913837499,-0.9211510094951749,stopped,trending,95,1.1666666666666667
BTCUSDT,long,2026-01-17 16:25:00,95481.71699999999,2026-01-17 16:45:00,95154.13062000001,-34.62905014687739,-0.4528993715005972,stopped,trending,85,0.3333333333333333
ETHUSDT,long,2026-01-18 16:00:00,3333.3058199999996,2026-01-18 23:00:00,3322.6069770899994,1.4852728057195623,0.03598527588898048,stopped,trending,100,7.0
AVAXUSDT,short,2026-01-21 13:30:00,12.076958500000002,2026-01-21 14:10:00,12.206194,-19.962772742499762,-1.1806882823601512,stopped,trending,94,0.6666666666666666
