symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,atr_percentile,adx_value,ema_slope
QNTUSDT,short,2023-10-04 10:30:00,87.965995,2023-10-04 12:50:00,87.9218800535075,-1.9932911443908736,-0.05982241749998495,stopped,trending,88,2.3333333333333335,London Session,21.0,25.288076137367742,0.009993939425031106
SOLUSDT,long,2023-10-04 07:10:00,23.088538500000002,2023-10-04 14:25:00,22.88486148075,7.633885820054239,0.5976869499786372,stopped,trending,86,7.25,Asian Session,23.0,44.33027522729483,0.01545061331753311
DOGEUSDT,short,2023-10-04 15:50:00,0.06082957,2023-10-04 19:00:00,0.061204142999999996,-25.437457603960425,-0.7261132080170813,stopped,trending,86,3.1666666666666665,London Session + NY Session,56.99999999999999,29.56886962431594,0.01693363150523327
QNTUSDT,short,2023-10-04 16:15:00,85.587185,2023-10-04 19:05:00,86.565479,-24.130656402039847,-1.2536666151597242,stopped,trending,92,2.8333333333333335,London Session + NY Session,98.0,38.28839362197122,0.047074401347314776
SUIUSDT,short,2023-10-04 15:05:00,0.43718130000000005,2023-10-04 23:05:00,0.4433429,-20.97442350635979,-1.5201675620617656,stopped,trending,87,8.0,London Session + NY Session,75.0,26.823825212905696,0.028210715259484983
BTCUSDT,long,2023-10-04 19:40:00,27617.902049999997,2023-10-05 02:25:00,27631.669574171923,-1.7059830942430196,-0.060177417499995674,stopped,trending,85,6.75,NY Session,99.0,31.197447487521,0.017565350671505695
AVAXUSDT,long,2023-10-04 20:00:00,10.0039995,2023-10-05 05:35:00,10.00898649375075,13.396988574681101,1.1481016773800679,stopped,trending,88,9.583333333333334,NY Session,93.0,34.13037531107872,0.08880496176128147
SUIUSDT,short,2023-10-05 16:10:00,0.43808085,2023-10-05 22:35:00,0.437861152453725,-0.7175491797939944,-0.05982241749998998,stopped,trending,91,6.416666666666667,London Session + NY Session,97.0,25.833820054928832,0.06288652209514389
QNTUSDT,short,2023-10-05 16:05:00,85.807075,2023-10-05 22:45:00,86.71062399999998,-20.967108423449663,-1.1635797333145128,stopped,trending,92,6.666666666666667,London Session + NY Session,88.0,32.703366195189844,0.04348573589531238
AAVEUSDT,long,2023-10-06 00:50:00,67.37367,2023-10-06 09:05:00,67.40725577449501,-0.8218741682944761,-0.060177417499986674,stopped,trending,87,8.25,Asian Session,44.0,25.943247071621265,0.04646437788282272
SOLUSDT,long,2023-10-06 07:45:00,23.327657999999996,2023-10-06 11:00:00,23.047929,-22.89468251853052,-1.3084707125335777,stopped,trending,85,3.25,Asian Session,44.0,26.81810622837452,0.07491670281716914
BTCUSDT,long,2023-10-08 02:50:00,28016.501249999998,2023-10-08 04:10:00,27918.73332,-35.00217545517385,-0.4587735915579329,stopped,trending,85,1.3333333333333333,Asian Session,49.0,26.521015887369987,0.012583024019053812
XMRUSDT,long,2023-10-07 21:05:00,154.107015,2023-10-08 11:50:00,154.06837266598873,8.824523797668586,0.3817487390247869,stopped,trending,92,14.75,NY Session,99.0,27.744295172870853,0.047126986408094824
XMRUSDT,long,2023-10-09 10:35:00,154.03698,2023-10-09 12:15:00,154.11376743453,-1.6685185780620246,-0.0601774175000064,stopped,trending,92,1.6666666666666667,London Session,89.0,31.0330874976593,0.020696194516162527
XLMUSDT,short,2023-10-10 04:35:00,0.10520737000000001,2023-10-10 11:00:00,0.105154608503945,-2.1542279031571163,-0.05982241749998584,stopped,trending,92,6.416666666666667,Asian Session,17.0,35.76736948795339,0.01954626355034839
BNBUSDT,short,2023-10-10 15:00:00,207.406245,2023-10-10 19:10:00,209.40919999999997,-20.089831452749618,-1.0762470024709032,stopped,trending,94,4.166666666666667,London Session + NY Session,77.0,36.74430509869915,0.028533257320463162
XLMUSDT,short,2023-10-10 15:15:00,0.10443775500000001,2023-10-10 23:05:00,0.1043853794658675,9.134426277636512,0.28678232894622613,stopped,trending,91,7.833333333333333,London Session + NY Session,59.0,29.032877042324863,0.037848895249657746
APTUSDT,short,2023-10-10 13:30:00,4.9145415,2023-10-11 00:15:00,4.91207685743775,10.395912861180703,0.5097198271004529,stopped,trending,91,10.75,London Session + NY Session,36.0,30.348070276220646,0.06946039116146374
DOTUSDT,short,2023-10-10 10:30:00,3.8290845,2023-10-11 02:30:00,3.75877845,32.087304489887416,1.025690253094446,completed,trending,94,16.0,London Session,12.0,26.004000546919027,0.043571548392995006
FILUSDT,short,2023-10-12 10:10:00,3.156421,2023-10-12 11:50:00,3.1865833999999995,-21.33476723427974,-1.0661141976941477,stopped,high_volatility,93,1.6666666666666667,London Session,92.0,17.54386414236963,0.009018471780282169
SUIUSDT,short,2023-10-12 10:35:00,0.4061968,2023-10-12 16:30:00,0.40599309230479996,-0.9807348651107465,-0.059822417499984834,stopped,trending,92,5.916666666666667,London Session,92.0,31.934542295678714,0.05405477719105843
ADAUSDT,short,2023-10-12 16:30:00,0.24407790000000001,2023-10-12 21:55:00,0.24626601999999997,-21.41734898538365,-1.0069773445281034,stopped,trending,91,5.416666666666667,London Session + NY Session,89.0,29.836947017026795,0.02578568788922652
ETHUSDT,short,2023-10-12 16:15:00,1542.898165,2023-10-13 00:05:00,1542.1244015702523,8.433680147942141,0.5466128834200888,stopped,trending,94,7.833333333333333,London Session + NY Session,99.0,33.842470386071035,0.055470315518358196
ZECUSDT,short,2023-10-12 16:15:00,24.737625,2023-10-13 05:15:00,24.725219081062498,9.922935054728143,0.40931350254505283,stopped,trending,96,13.0,London Session + NY Session,80.0,31.15605817883644,0.05917183464887994
UNIUSDT,short,2023-10-12 16:15:00,4.053972,2023-10-13 20:50:00,4.051938933041999,10.740381819712068,0.6021245011352765,stopped,trending,94,28.583333333333332,London Session + NY Session,99.0,35.84759438296316,0.08536859471074769
SUIUSDT,short,2023-10-13 17:00:00,0.4141928,2023-10-13 20:50:00,0.4139850823108,-0.8726816744617574,-0.059822417499993605,stopped,trending,90,3.8333333333333335,NY Session,89.0,40.19230278806377,0.022454775445586325
DOTUSDT,short,2023-10-14 18:00:00,3.7421280000000006,2023-10-14 18:15:00,3.740251322808,-3.0714023295662805,-0.059822417499987596,stopped,trending,91,0.25,NY Session,38.0,26.433332146488244,0.019817767581552365
ARBUSDT,short,2023-10-15 12:25:00,0.8035980000000001,2023-10-15 13:15:00,0.803194995603,-2.1051243357964347,-0.059822417499982634,stopped,trending,97,0.8333333333333334,London Session,89.0,25.769258739031326,0.01860125335000728
AVAXUSDT,short,2023-10-19 09:10:00,8.8805575,2023-10-19 13:20:00,8.9454365,-25.127793089188202,-0.8409753182725235,stopped,trending,85,4.166666666666667,London Session,4.0,26.344589220804554,0.00011974333423958338
SOLUSDT,long,2023-10-19 09:30:00,23.8589235,2023-10-19 15:00:00,24.549719000000003,37.766202813692786,1.6897033923911227,completed,trending,90,5.5,London Session,16.0,30.69564913534995,0.09145452326762414
ALGOUSDT,short,2023-10-19 15:45:00,0.08885555,2023-10-19 20:40:00,0.08928046627499998,3.3929846254299054,0.19330464183091575,stopped,trending,95,4.916666666666667,London Session + NY Session,59.0,31.673738696816425,0.0435967417977544
SUIUSDT,short,2023-10-19 10:10:00,0.36801590000000006,2023-10-19 22:15:00,0.36783134002615,-0.8432557075286149,-0.059822417499976986,stopped,trending,88,12.083333333333334,London Session,67.0,35.50010420536341,0.10380832884613464
ALGOUSDT,short,2023-10-20 06:00:00,0.0907546,2023-10-20 08:15:00,0.09147137999999999,-17.350720085492707,-0.9002345765393558,stopped,trending,95,2.25,Asian Session,97.0,39.96991325086969,0.02641127640469178
SUIUSDT,short,2023-10-20 10:35:00,0.3820089,2023-10-20 16:10:00,0.382104115718325,7.683867454321053,0.5153565881292217,stopped,trending,95,5.583333333333333,London Session,85.0,30.046716235244215,0.03984383998117921
BTCUSDT,long,2023-10-21 15:15:00,29833.509299999998,2023-10-21 23:35:00,29803.6757907,170.1313759544767,0.5702694049287615,stopped,trending,98,8.333333333333334,London Session + NY Session,62.0,26.472572880288396,0.015881443883453503
AAVEUSDT,long,2023-10-22 01:15:00,71.02549499999999,2023-10-22 01:35:00,69.773157,-15.957327103199935,-1.8722534191419498,stopped,trending,92,0.3333333333333333,Asian Session,97.0,28.89998174263774,0.009770986153074885
LINKUSDT,long,2023-10-22 01:05:00,9.006501,2023-10-22 05:20:00,9.6593679,30.29261872073699,4.425548705659944,completed,trending,88,4.25,Asian Session,66.0,34.070755488432695,0.1120123300470486
XMRUSDT,long,2023-10-22 00:00:00,157.968945,2023-10-22 07:10:00,157.92933428704123,6.701734720750574,0.2828292071689818,stopped,trending,84,7.166666666666667,Asian Session,56.99999999999999,26.36173763078522,0.04580899711549234
LINKUSDT,long,2023-10-22 06:15:00,9.5497725,2023-10-22 07:35:00,9.2712195,-10.978372732799953,-3.025250555445156,stopped,trending,88,1.3333333333333333,Asian Session,82.0,45.739784959647,0.11969455059027316
AAVEUSDT,long,2023-10-22 07:30:00,76.89842999999999,2023-10-22 15:00:00,74.439486,-10.168719415199952,-3.3058930511324984,stopped,trending,88,7.5,Asian Session,99.0,48.943404222406365,0.19392862474022568
BNBUSDT,long,2023-10-22 22:30:00,215.62776,2023-10-22 22:50:00,217.841025,27.58827132922326,0.5146676059242186,completed,high_volatility,79,0.3333333333333333,Off-Hours,91.0,17.569727129624713,0.09887058495114999
LINKUSDT,long,2023-10-22 18:15:00,9.508752,2023-10-23 00:00:00,10.312841,21.689915222745014,5.184198922200835,completed,trending,85,5.75,NY Session,56.00000000000001,26.029837721435296,0.13401039980735507
AAVEUSDT,long,2023-10-22 22:30:00,76.49822999999999,2023-10-23 00:10:00,80.3548025,42.960728390063316,3.0381396001025323,completed,trending,91,1.6666666666666667,Off-Hours,36.0,25.87728039207671,0.17073096272636218
ADAUSDT,long,2023-10-23 00:25:00,0.26363175,2023-10-23 07:50:00,0.262183429125,4.426453756431074,0.2646223930219385,stopped,trending,88,7.416666666666667,Asian Session,90.0,36.15408067033696,0.05944267479986808
AVAXUSDT,long,2023-10-23 00:25:00,10.035015,2023-10-23 09:20:00,10.024979985,20.13064832728967,1.5431082163718868,stopped,trending,85,8.916666666666666,Asian Session,46.0,28.014620471216002,0.06015140203529109
