symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours
VETUSDT,long,2025-01-17 04:15:00,0.0532075905,2025-01-17 05:30:00,0.05725136,42.9982962930427,4.701623265808295,completed,trending,91,1.25
DOGEUSDT,long,2025-01-17 04:00:00,0.38563272,2025-01-17 08:15:00,0.403708045,42.40549643254073,2.871541013366298,completed,trending,85,4.25
VETUSDT,long,2025-01-17 06:25:00,0.056640306,2025-01-17 08:15:00,0.0550449,-21.578287937559423,-2.8719439786924887,stopped,trending,86,1.8333333333333333
FILUSDT,long,2025-01-17 04:45:00,5.878938,2025-01-17 12:00:00,5.780214,-22.108223887831254,-1.7348126916800248,stopped,trending,87,7.25
AVAXUSDT,long,2025-01-17 08:15:00,41.150565,2025-01-17 15:05:00,41.1710785566525,-0.07355860275743176,-0.006163957999992748,stopped,trending,89,6.833333333333333
BTCUSDT,long,2025-01-17 12:00:00,102331.24005,2025-01-17 16:10:00,104226.92047,1114.9323450477746,1.089532721877511,completed,trending,87,4.166666666666667
LINKUSDT,long,2025-01-17 05:00:00,23.738863499999997,2025-01-17 20:40:00,24.9645115,42.86839433899552,3.171884461461284,completed,trending,91,15.666666666666666
BTCUSDT,long,2025-01-17 19:30:00,105148.548,2025-01-17 22:45:00,104087.23856999999,-1119.8954502396084,-1.0650603090017072,stopped,trending,89,3.25
XRPUSDT,long,2025-01-17 20:00:00,3.2448216,2025-01-17 23:00:00,3.2464391435676,-0.08040379512067103,-0.006163957999992485,stopped,trending,85,3.0
QNTUSDT,long,2025-01-17 20:55:00,121.18056,2025-01-18 01:00:00,121.24096850916,-0.10457326351592944,-0.00616395800000131,stopped,trending,89,4.083333333333333
LINKUSDT,long,2025-01-17 22:45:00,25.0215045,2025-01-18 03:20:00,24.78544199775,8.020658771339216,0.7123347102701836,stopped,trending,93,4.583333333333333
SOLUSDT,long,2025-01-18 05:10:00,226.33310999999998,2025-01-18 10:30:00,243.99794000000003,32.80286250432012,4.831059627749577,completed,high_volatility,92,5.333333333333333
ETHUSDT,short,2025-01-18 06:15:00,3325.45644,2025-01-18 15:15:00,3323.7887235953394,32.625341420027034,0.9810785980413274,stopped,trending,86,9.0
SOLUSDT,long,2025-01-18 10:35:00,242.811345,2025-01-18 16:05:00,265.817025,42.83089618014003,5.879859276501273,completed,trending,88,5.5
JUPUSDT,long,2025-01-18 16:05:00,1.11005475,2025-01-18 16:15:00,1.0393596,-21.317798819381977,-6.422835091512372,stopped,trending,87,0.16666666666666666
SOLUSDT,long,2025-01-18 16:15:00,252.78633,2025-01-18 16:55:00,243.04671,-19.756906502400003,-3.9078273145545497,stopped,trending,88,0.6666666666666666
TONUSDT,short,2025-01-18 15:15:00,5.30164785,2025-01-19 01:05:00,5.336505098925,7.812768059993329,0.4259101160151789,stopped,trending,92,9.833333333333334
ARBUSDT,short,2025-01-18 05:00:00,0.7922037000000001,2025-01-19 02:35:00,0.7929959037,27.848727732654268,2.7636394374165194,stopped,trending,88,21.583333333333332
APTUSDT,short,2025-01-18 05:00:00,9.4978487,2025-01-19 02:40:00,9.5073465487,27.545908261380227,2.197140950374103,stopped,trending,94,21.666666666666668
ADAUSDT,long,2025-01-19 02:35:00,1.1341667999999998,2025-01-19 03:05:00,1.1114874000000001,-22.46908858166369,-2.055093058269708,stopped,trending,96,0.5
DOGEUSDT,long,2025-01-19 02:55:00,0.406203,2025-01-19 04:00:00,0.39889071,-22.6809881625492,-1.8556525281201763,stopped,trending,85,1.0833333333333333
VETUSDT,long,2025-01-19 03:10:00,0.053716845,2025-01-19 04:10:00,0.052628319,-22.246394535286548,-2.081847223007977,stopped,trending,87,1.0
XLMUSDT,long,2025-01-19 01:05:00,0.48694335,2025-01-19 04:15:00,0.47702249999999996,-22.45024524491408,-2.0928020555163216,stopped,trending,91,3.1666666666666665
SUIUSDT,long,2025-01-18 16:55:00,4.81670715,2025-01-19 05:05:00,4.81189044285,29.55983606476181,2.9085017092143746,stopped,trending,87,12.166666666666666
ZECUSDT,short,2025-01-19 08:30:00,49.125425,2025-01-19 13:55:00,49.64280571249999,4.440723225512803,0.821778358986726,stopped,trending,88,5.416666666666667
UNIUSDT,short,2025-01-19 08:15:00,13.684154500000002,2025-01-19 14:00:00,13.6978386545,15.896514547911432,2.4716449509931326,stopped,trending,87,5.75
ADAUSDT,long,2025-01-19 15:15:00,1.07263605,2025-01-19 19:55:00,1.073170759070925,-0.030678211725341326,-0.006163958000009393,stopped,trending,96,4.666666666666667
HBARUSDT,long,2025-01-19 17:10:00,0.34927455,2025-01-19 21:25:00,0.344632297725,10.02252929890151,1.0992305390468575,stopped,trending,89,4.25
ARBUSDT,short,2025-01-19 20:00:00,0.7818089,2025-01-19 21:30:00,0.747563595,43.07330370755963,2.6796894281224035,completed,trending,85,1.5
UNIUSDT,long,2025-01-19 16:00:00,14.156074499999999,2025-01-19 21:40:00,13.776209999999999,-23.760461662543594,-2.7386514507252704,stopped,trending,85,5.666666666666667
LTCUSDT,long,2025-01-19 14:15:00,122.04099,2025-01-19 21:45:00,118.89099,-9.652382863199973,-2.6363772978242728,stopped,trending,87,7.5
TONUSDT,short,2025-01-19 22:00:00,4.9297339000000004,2025-01-20 02:25:00,4.98009206695,8.722669444524609,0.789910558694207,stopped,trending,87,4.416666666666667
LINKUSDT,long,2025-01-20 02:35:00,24.356172,2025-01-20 05:30:00,24.368313551742002,-0.028524780037245484,-0.006163957999995255,stopped,trending,89,2.9166666666666665
DOTUSDT,short,2025-01-19 22:00:00,6.408794,2025-01-20 06:35:00,6.405579989809,14.767289872725076,1.8733519482437324,stopped,trending,87,8.583333333333334
ZECUSDT,short,2025-01-19 22:00:00,47.406285000000004,2025-01-20 06:40:00,48.831782999999994,-20.334225226559866,-3.063822991065405,stopped,trending,87,8.666666666666666
POLUSDT,short,2025-01-19 22:00:00,0.452963405,2025-01-20 06:40:00,0.4593455892024999,9.175714443246111,1.1777370181950333,stopped,trending,87,8.666666666666666
BTCUSDT,long,2025-01-20 07:55:00,107232.3894,2025-01-20 15:55:00,104788.83627,-24.37843177284723,-2.334107341254116,stopped,trending,86,8.0
HBARUSDT,long,2025-01-20 07:15:00,0.365472645,2025-01-20 16:10:00,0.35142821999999996,-23.69717124117709,-3.897735558895257,stopped,trending,87,8.916666666666666
XRPUSDT,long,2025-01-20 07:20:00,3.2066025,2025-01-20 17:05:00,3.15479329875,10.404913756976025,1.3861197418506115,stopped,trending,88,9.75
