symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,atr_percentile,adx_value,ema_slope
ZECUSDT,short,2022-11-03 11:30:00,50.504735000000004,2022-11-04 04:25:00,51.730678999999995,-19.23260216549987,-2.538719345225732,stopped,early_trend,88,16.916666666666668,London Session,63.0,22.613017178305,0.12222387064498377
ALGOUSDT,long,2022-11-03 04:00:00,0.3683841,2022-11-04 19:55:00,0.418340725,59.148026282405816,8.954865979333805,completed,early_trend,85,39.916666666666664,Asian Session,67.0,41.896001565916244,0.16098919743666035
UNIUSDT,long,2022-11-04 13:40:00,7.524760499999999,2022-11-06 23:00:00,7.2213714,-18.68996835269997,-4.139659628303114,stopped,strong_trend,88,57.333333333333336,London Session + NY Session,97.0,45.971974488086836,0.16379648773787736
FILUSDT,long,2022-11-03 07:50:00,6.009003,2022-11-06 23:05:00,5.8318637985,1.1734977475950368,0.37555754884508513,stopped,strong_trend,88,87.25,Asian Session,98.0,59.34116891571178,0.20131303198240852
LTCUSDT,long,2022-11-05 13:00:00,69.93495,2022-11-06 23:35:00,67.40552699999999,-18.23472183645006,-3.724833237673021,stopped,early_trend,85,34.583333333333336,London Session + NY Session,73.0,34.81940945932979,0.053858181638839396
LINKUSDT,long,2022-11-03 06:30:00,7.8489225,2022-11-07 20:00:00,9.02798375,59.25255804625512,9.933069432922183,completed,early_trend,92,109.5,Asian Session,55.00000000000001,37.69912045156765,0.07684916192572619
ALGOUSDT,long,2022-11-07 16:15:00,0.43681829999999994,2022-11-07 21:55:00,0.41886071999999996,-18.944193157907975,-4.2187343023403505,stopped,strong_trend,92,5.666666666666667,London Session + NY Session,97.0,30.39034719824083,0.10727782457692285
LINKUSDT,long,2022-11-07 21:30:00,8.974485,2022-11-08 03:40:00,8.5820094,-19.30232025215996,-4.480832849127267,stopped,strong_trend,92,6.166666666666667,NY Session,99.0,57.03596914226459,0.06753534067557844
VETUSDT,long,2022-11-07 19:00:00,0.026163074999999997,2022-11-08 04:10:00,0.026136911925,31.83509946549198,3.7040944405803895,stopped,early_trend,91,9.166666666666666,NY Session,72.0,24.309870427742457,0.08116105063913721
XLMUSDT,short,2022-11-08 06:30:00,0.103898025,2022-11-08 16:30:00,0.10791780999999999,-15.22152405003994,-3.9810994571359593,stopped,strong_trend,86,10.0,Asian Session,96.0,53.819242597953256,0.07660430254017633
XRPUSDT,short,2022-11-08 17:10:00,0.44587695,2022-11-08 19:25:00,0.38200090499999995,47.11488943019893,9.47694340679083,completed,strong_trend,85,2.25,NY Session,86.0,33.320533382116786,0.09609934405534347
HBARUSDT,short,2022-11-08 17:10:00,0.05618189500000001,2022-11-08 19:30:00,0.0470445105,47.2267428044681,10.77559678347003,completed,strong_trend,85,2.3333333333333335,NY Session,82.0,35.04775799027466,0.10870538598912591
ZECUSDT,short,2022-11-08 06:30:00,47.67615000000001,2022-11-09 21:25:00,33.368675999999994,47.65517400401255,19.991200633445672,completed,strong_trend,92,38.916666666666664,Asian Session,91.0,54.53004488713083,0.11810750356031993
BTCUSDT,short,2022-11-09 21:30:00,16167.81205,2022-11-10 13:30:00,17286.7695,-1137.357469852498,-7.0347024466585015,stopped,strong_trend,90,16.0,NY Session,89.0,55.75382670117248,0.5047300239563394
BNBUSDT,short,2022-11-14 11:45:00,285.667095,2022-11-14 13:25:00,291.41112,-11.631982405382047,-2.121846766513295,stopped,early_trend,85,1.6666666666666667,London Session,65.0,39.5836774462024,0.08345990912111304
BNBUSDT,short,2022-11-16 12:20:00,271.74406,2022-11-18 12:05:00,274.36612203,-0.06071794873153791,-0.02234379979880256,stopped,early_trend,90,47.75,London Session,53.0,38.93244558830755,0.08477940404778775
AVAXUSDT,short,2022-11-16 12:45:00,13.182405500000002,2022-11-21 02:05:00,11.7548745,30.083792187840054,7.131615742437915,completed,early_trend,90,109.33333333333333,London Session,61.0,36.076776641533556,0.14389340480223642
ETHUSDT,short,2022-11-21 09:35:00,1113.872785,2022-11-21 13:20:00,1141.6104699999999,-28.97820079024983,-2.6015718473855904,stopped,early_trend,94,3.75,London Session,72.0,38.32540454286902,0.09596062307586002
ALGOUSDT,short,2022-11-21 20:00:00,0.24257865,2022-11-23 07:30:00,0.24685593432499997,0.2979419185590557,0.13662159256798,stopped,early_trend,96,35.5,NY Session,71.0,29.049649345931254,0.025031210549352634
ADAUSDT,short,2022-11-23 14:10:00,0.311844,2022-11-23 19:00:00,0.31834802999999995,-10.323907874065407,-2.196814951225593,stopped,early_trend,92,4.833333333333333,London Session + NY Session,59.0,21.92230667418057,0.06028647339023142
ALGOUSDT,short,2022-11-23 14:35:00,0.23918035,2022-11-23 23:15:00,0.24581556999999998,-10.069970956003955,-2.8856750799135336,stopped,early_trend,92,8.666666666666666,London Session + NY Session,64.0,27.0817964772777,0.019236830922255418
DOGEUSDT,long,2022-11-29 04:15:00,0.101660805,2022-11-30 18:30:00,0.09920160159750001,0.5303980403540876,0.26949022283953245,stopped,strong_trend,90,38.25,Asian Session,82.0,35.10378831505105,0.3596746591059434
SOLUSDT,short,2022-11-08 20:20:00,23.068459999999998,2022-12-31 00:00:00,9.88494,24.130682965604997,52.302327432357856,backtest_end,strong_trend,88,1251.6666666666667,NY Session,96.0,40.59268846965945,0.5633358181228896
XLMUSDT,short,2022-11-08 20:30:00,0.09783106,2022-12-31 00:00:00,0.07233615,42.92849749679128,21.626532001866273,backtest_end,strong_trend,88,1251.5,NY Session,96.0,45.517149437941974,0.1728141934034972
