symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session
FILUSDT,long,2024-01-03 06:10:00,7.559778,2024-01-03 07:50:00,7.3726199999999995,-19.537081890000014,-2.584345980794676,stopped,trending,88,1.6666666666666667,Asian Session
BNBUSDT,long,2024-01-03 08:00:00,318.39912,2024-01-03 09:35:00,318.55784196132004,-0.9580218387933573,-0.06017741749998288,stopped,trending,88,1.5833333333333333,Asian Session + London Session
ARBUSDT,long,2024-01-03 06:55:00,1.92866385,2024-01-03 11:55:00,1.8666315,-19.171808970307488,-3.3245691022051336,stopped,trending,92,5.0,Asian Session
BNBUSDT,long,2024-01-04 10:10:00,322.68125999999995,2024-01-04 10:20:00,318.57111,-17.851355213999902,-1.3830486479134165,stopped,trending,85,0.16666666666666666,London Session
APTUSDT,long,2024-01-04 09:10:00,9.630812999999998,2024-01-04 12:50:00,10.5057445,37.59698308957516,5.576889079068429,completed,trending,87,3.6666666666666665,London Session
DOGEUSDT,short,2024-01-04 16:40:00,0.08345825000000001,2024-01-04 20:35:00,0.084596512,-23.12566804277286,-1.4746200874089583,stopped,trending,90,3.9166666666666665,London Session + NY Session
SUIUSDT,long,2024-01-04 12:25:00,0.8201098499999999,2024-01-05 01:45:00,0.8192897401499999,27.45431265428987,2.8314911095822826,stopped,trending,86,13.333333333333334,London Session
APTUSDT,long,2024-01-04 15:00:00,10.6143045,2024-01-05 01:45:00,10.16982,-20.78608709686069,-4.29529573487363,stopped,trending,92,10.75,London Session + NY Session
BTCUSDT,long,2024-01-04 21:15:00,44276.9274,2024-01-05 01:45:00,43693.72254,-22.911512314832823,-1.4264510989238113,stopped,trending,86,4.5,NY Session
BNBUSDT,long,2024-01-05 04:15:00,322.20102,2024-01-05 06:10:00,317.82185999999996,-22.609672920018166,-1.4683915600267403,stopped,trending,85,1.9166666666666667,Asian Session
XRPUSDT,short,2024-01-05 04:25:00,0.57461255,2024-01-05 23:00:00,0.5751871625499999,26.776936786110813,1.929938547238411,stopped,trending,85,18.583333333333332,Asian Session
DOGEUSDT,short,2024-01-05 02:10:00,0.08291852000000001,2024-01-06 06:55:00,0.07853824949999999,29.30394135739055,3.193912958637006,completed,high_volatility,90,28.75,Asian Session
XMRUSDT,short,2024-01-06 07:15:00,151.454235,2024-01-06 08:30:00,154.18402999999998,-17.387376274499804,-1.9133806629771477,stopped,trending,88,1.25,Asian Session
SUIUSDT,long,2024-01-06 10:05:00,0.86933445,2024-01-06 13:00:00,0.869767813223325,-0.3128395268258079,-0.06017741750000121,stopped,trending,92,2.9166666666666665,London Session
ZECUSDT,short,2024-01-06 06:35:00,22.498745000000003,2024-01-06 14:30:00,23.020998,-19.155110052749848,-2.4325306084850316,stopped,trending,90,7.916666666666667,Asian Session
BTCUSDT,long,2024-01-05 21:00:00,43808.2932,2024-01-07 02:35:00,43830.1316341602,-1.0494727043393124,-0.06017741750000105,stopped,trending,85,29.583333333333332,NY Session
XLMUSDT,short,2024-01-07 11:15:00,0.118370785,2024-01-07 22:30:00,0.11520757499999999,38.70563371625104,1.5523135823590357,completed,trending,85,11.25,London Session
ZECUSDT,short,2024-01-07 17:10:00,22.408790000000003,2024-01-08 00:55:00,21.249619499999998,40.584243638154874,3.1260159311145506,completed,trending,88,7.75,NY Session
LINKUSDT,short,2024-01-07 23:50:00,13.123435,2024-01-08 01:20:00,13.335321999999998,-20.153099155149757,-1.7254576743817245,stopped,trending,88,1.5,Off-Hours
LTCUSDT,short,2024-01-07 17:15:00,64.81757499999999,2024-01-08 02:15:00,62.8704195,39.09555908846861,1.7613366066803506,completed,trending,92,9.0,NY Session
DOGEUSDT,short,2024-01-08 02:20:00,0.07777109500000001,2024-01-08 06:20:00,0.07784886609500001,25.69929911236629,2.438010569398641,stopped,trending,90,4.0,Asian Session
ADAUSDT,short,2024-01-08 01:00:00,0.49435270000000003,2024-01-08 08:20:00,0.49484705269999996,25.78497795110112,3.021962442296371,stopped,trending,88,7.333333333333333,Asian Session
AVAXUSDT,short,2024-01-08 01:30:00,33.321331,2024-01-08 10:55:00,33.354652331,24.77533330337184,3.717638605638509,stopped,trending,85,9.416666666666666,Asian Session
ZECUSDT,short,2024-01-08 09:45:00,21.16941,2024-01-08 12:05:00,21.599577999999998,-23.162486533251816,-2.143144014878064,stopped,trending,83,2.3333333333333335,London Session
XMRUSDT,short,2024-01-08 10:45:00,151.58417,2024-01-08 12:15:00,154.18402999999998,-23.607920934410043,-1.8260696417046571,stopped,trending,89,1.5,London Session
ADAUSDT,short,2024-01-08 14:45:00,0.5075461000000001,2024-01-08 15:40:00,0.5146441299999999,-24.01419630749715,-1.5092687396277409,stopped,trending,90,0.9166666666666666,London Session + NY Session
AAVEUSDT,short,2024-01-08 14:35:00,96.121915,2024-01-08 17:45:00,96.0737098596275,-0.9625040670350579,-0.059822417499997574,stopped,trending,86,3.1666666666666665,London Session + NY Session
XMRUSDT,short,2024-01-08 12:25:00,152.16388,2024-01-08 19:30:00,152.08756981417997,-0.8042472930906222,-0.05982241749997743,stopped,trending,86,7.083333333333333,London Session
