symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours
ZECUSDT,long,2025-06-03 04:00:00,54.94746,2025-06-03 06:15:00,54.116829,-22.94043115883981,-1.6208508254066643,stopped,trending,91,2.25
XMRUSDT,long,2025-06-03 07:35:00,366.7833,2025-06-03 07:55:00,361.32831,-22.729029522227375,-1.5964334759788708,stopped,trending,93,0.3333333333333333
TAOUSDT,short,2025-06-03 06:00:00,391.71404500000006,2025-06-03 12:25:00,394.10072952249993,6.358793543560707,0.32352510467971907,stopped,trending,85,6.416666666666667
UNIUSDT,long,2025-06-03 12:30:00,6.453225,2025-06-03 13:00:00,6.4564419326625,-0.997590550872326,-0.060177417499996486,stopped,trending,85,0.5
AAVEUSDT,long,2025-06-03 10:15:00,259.20953999999995,2025-06-03 13:55:00,268.38574,39.913836065689864,2.0954678385101335,completed,trending,90,3.6666666666666665
QNTUSDT,long,2025-06-03 18:15:00,114.73734,2025-06-03 18:30:00,112.90697999999999,-22.769850435245647,-1.7043835738217505,stopped,trending,86,0.25
AAVEUSDT,long,2025-06-03 14:05:00,265.87287,2025-06-03 20:25:00,266.00540762569494,13.524827212339783,1.025953357426213,stopped,trending,86,6.333333333333333
UNIUSDT,long,2025-06-03 14:45:00,6.809403,2025-06-03 20:30:00,6.6180753,-21.512766382976558,-2.918211964617156,stopped,high_volatility,85,5.75
QNTUSDT,long,2025-06-03 18:40:00,113.49672,2025-06-03 21:55:00,111.66822,-22.481574300991127,-1.7201736904819724,stopped,trending,90,3.25
ZECUSDT,long,2025-06-03 20:25:00,55.297635,2025-06-04 00:30:00,54.071874,-21.84496820191105,-2.325441639502302,stopped,trending,87,4.083333333333333
POLUSDT,short,2025-06-03 21:55:00,0.21361314,2025-06-04 01:00:00,0.21617596,-23.215173051879955,-1.3104081541987507,stopped,trending,87,3.0833333333333335
JUPUSDT,short,2025-06-03 21:05:00,0.54642665,2025-06-04 03:10:00,0.5461526170350249,-0.6551614812493073,-0.059822417499985465,stopped,trending,89,6.083333333333333
TAOUSDT,short,2025-06-03 18:00:00,389.075365,2025-06-04 03:25:00,395.86546999999996,-22.582674939186994,-1.8561500184546467,stopped,trending,88,9.416666666666666
QNTUSDT,long,2025-06-09 00:00:00,119.589765,2025-06-09 00:50:00,118.42146000000001,-23.24336600809925,-1.0863899379265354,stopped,trending,87,0.8333333333333334
TRXUSDT,long,2025-06-09 00:20:00,0.28188086999999995,2025-06-09 04:35:00,0.284647605,31.131466679182886,0.48860250503166386,completed,trending,86,4.25
DOTUSDT,short,2025-06-09 00:25:00,4.0169905,2025-06-09 09:10:00,4.01497597926425,11.240254681317712,0.43072944356174186,stopped,trending,85,8.75
ARBUSDT,short,2025-06-09 00:00:00,0.3420289,2025-06-09 09:30:00,0.34396807445,5.679688255596071,0.2821569431782756,stopped,trending,86,9.5
VETUSDT,short,2025-06-09 00:55:00,0.024035976,2025-06-09 09:40:00,0.024160123987999996,5.154451843479871,0.23125968091873267,stopped,trending,87,8.75
ALGOUSDT,short,2025-06-09 04:35:00,0.1893053,2025-06-09 09:40:00,0.19091071999999998,-24.189870433134104,-0.9585250972899165,stopped,trending,91,5.083333333333333
QNTUSDT,long,2025-06-09 11:15:00,119.309625,2025-06-09 12:00:00,118.06182000000001,-22.98647342388272,-1.155279211337715,stopped,trending,91,0.75
TONUSDT,long,2025-06-09 12:20:00,3.2097040499999996,2025-06-09 13:35:00,3.2113040874689247,-1.2698790102108715,-0.06017741749999628,stopped,trending,86,1.25
UNIUSDT,long,2025-06-09 11:45:00,6.5162565,2025-06-09 13:55:00,6.4193742,-21.65832240339881,-1.5959607619037075,stopped,trending,88,2.1666666666666665
JUPUSDT,short,2025-06-09 13:30:00,0.46606685000000003,2025-06-09 15:05:00,0.465833117474725,12.135539817195799,0.7252575725900697,stopped,trending,95,1.5833333333333333
AAVEUSDT,long,2025-06-09 11:15:00,257.778825,2025-06-09 19:25:00,268.555655,38.920772002255084,2.499660444491522,completed,trending,96,8.166666666666666
ZECUSDT,long,2025-06-10 01:55:00,51.185579999999995,2025-06-10 03:35:00,50.564385,-22.4182173029299,-1.3229457998717473,stopped,trending,88,1.6666666666666667
UNIUSDT,long,2025-06-10 02:05:00,7.0625295,2025-06-10 11:30:00,7.60829395,40.155560941055356,4.726489935015491,completed,trending,90,9.416666666666666
AAVEUSDT,long,2025-06-10 05:20:00,291.295575,2025-06-10 11:30:00,309.015415,39.3146064304455,3.691660018754156,completed,trending,88,6.166666666666667
ZECUSDT,long,2025-06-10 13:00:00,52.015995,2025-06-10 13:25:00,51.254694,-22.423405117024824,-1.5727852152977098,stopped,trending,96,0.4166666666666667
QNTUSDT,long,2025-06-10 12:15:00,123.591765,2025-06-10 14:20:00,122.3983616175,4.720824681171414,0.42038734179028153,stopped,high_volatility,92,2.0833333333333335
TAOUSDT,long,2025-06-10 04:10:00,429.884835,2025-06-10 14:25:00,429.7770413776238,12.193786490655846,1.0021838320798273,stopped,trending,88,10.25
AAVEUSDT,long,2025-06-10 13:30:00,312.06595500000003,2025-06-10 15:30:00,303.74595,-20.778528547779104,-2.774638312516352,stopped,trending,96,2.0
ARBUSDT,long,2025-06-10 14:20:00,0.3973986,2025-06-10 15:30:00,0.38815146,-21.069576937849718,-2.435638306979438,stopped,trending,87,1.1666666666666667
ZECUSDT,long,2025-06-10 15:30:00,51.875924999999995,2025-06-10 17:05:00,51.9017851486125,-0.6436152788611607,-0.06017741749999685,stopped,trending,90,1.5833333333333333
TRXUSDT,long,2025-06-10 11:40:00,0.28946466,2025-06-11 00:55:00,0.28917519533999997,23.4798571299585,0.7022013190617543,stopped,trending,96,13.25
QNTUSDT,long,2025-06-11 05:30:00,124.252095,2025-06-11 06:15:00,122.98689,-23.57421224769732,-1.1276964317985902,stopped,trending,88,0.75
UNIUSDT,long,2025-06-10 14:30:00,8.155075499999999,2025-06-11 09:50:00,8.159140805136747,13.963236955978505,2.6768204501688824,stopped,trending,92,19.333333333333332
ZECUSDT,long,2025-06-11 12:15:00,49.254614999999994,2025-06-11 12:35:00,50.3058345,37.122464446039565,1.212639105767066,completed,trending,90,0.3333333333333333
QNTUSDT,long,2025-06-11 11:45:00,119.97995999999999,2025-06-11 13:35:00,120.03977001006,-0.9653486431993381,-0.06017741749999587,stopped,trending,92,1.8333333333333333
TRXUSDT,long,2025-06-11 10:00:00,0.291575715,2025-06-11 14:10:00,0.28970001,-26.47010436201207,-0.7529456452674754,stopped,trending,99,4.166666666666667
ARBUSDT,long,2025-06-10 15:45:00,0.3935967,2025-06-11 15:35:00,0.42525726500000005,40.415459531252424,4.924996059113305,completed,trending,85,23.833333333333332
ARBUSDT,long,2025-06-11 15:35:00,0.4250124,2025-06-11 16:05:00,0.41611347,-21.653552159952717,-2.202653199883116,stopped,trending,87,0.5
AAVEUSDT,long,2025-06-11 12:50:00,311.51568,2025-06-11 17:50:00,308.29423716,4.895079811805204,0.4696874603249653,stopped,high_volatility,86,5.0
RENDERUSDT,long,2025-06-11 14:35:00,4.0520249999999995,2025-06-11 17:50:00,3.9862098,-21.830201956650832,-1.7333611994002858,stopped,trending,89,3.25
ARBUSDT,long,2025-06-11 16:05:00,0.41650814999999997,2025-06-11 18:15:00,0.40726232999999995,-21.293217856290692,-2.32862040370639,stopped,trending,90,2.1666666666666665
ZECUSDT,long,2025-06-11 13:35:00,51.005489999999995,2025-06-11 18:20:00,50.047902,-21.749118753292382,-1.986388848729802,stopped,trending,91,4.75
RENDERUSDT,short,2025-06-12 06:20:00,3.7431275000000004,2025-06-12 14:10:00,3.7988950999999997,-21.677611107563337,-1.6006858550770542,stopped,trending,89,7.833333333333333
APTUSDT,short,2025-06-12 08:10:00,4.90044855,2025-06-12 16:20:00,4.897990975052175,-0.9241087644234656,-0.05982241749999881,stopped,trending,86,8.166666666666666
VETUSDT,short,2025-06-12 08:00:00,0.024325831,2025-06-12 16:25:00,0.024313631595753497,-0.973214362821985,-0.05982241749999265,stopped,trending,87,8.416666666666666
XMRUSDT,short,2025-06-12 14:30:00,322.39872,2025-06-12 16:25:00,326.59626999999995,-21.86726167716627,-1.4126908582329114,stopped,trending,85,1.9166666666666667
DOTUSDT,short,2025-06-12 07:30:00,4.0949515000000005,2025-06-12 17:35:00,4.09289788182275,12.30505595325678,0.7438685878178141,stopped,trending,88,10.083333333333334
AAVEUSDT,long,2025-06-12 16:20:00,301.3506,2025-06-12 19:40:00,298.75624469999997,7.032866769042351,0.5766830846553861,stopped,trending,85,3.3333333333333335
TONUSDT,short,2025-06-13 10:40:00,2.9605190000000006,2025-06-13 14:30:00,2.9590342997215004,-0.8928556521731351,-0.05982241749999605,stopped,trending,86,3.8333333333333335
ALGOUSDT,short,2025-06-13 17:50:00,0.17881055,2025-06-13 18:05:00,0.17872087650917498,-0.796374772748821,-0.05982241749998219,stopped,trending,87,0.25
UNIUSDT,long,2025-06-13 23:10:00,7.6268115,2025-06-14 03:55:00,7.4734191,-20.530097246559222,-2.1201196178770054,stopped,trending,88,4.75
ZECUSDT,short,2025-06-13 18:00:00,45.107435,2025-06-14 04:05:00,45.08481362134749,12.866264563820772,1.3475004833579851,stopped,trending,91,10.083333333333334
AAVEUSDT,long,2025-06-13 23:45:00,289.194525,2025-06-14 06:55:00,283.92579,-20.753675887327184,-1.930863377600248,stopped,trending,86,7.166666666666667
JUPUSDT,short,2025-06-14 16:30:00,0.40389795000000006,2025-06-14 18:05:00,0.40936895999999995,-21.3272445940947,-1.465297558578816,stopped,trending,87,1.5833333333333333
DOTUSDT,short,2025-06-14 16:15:00,3.7491245,2025-06-14 20:00:00,3.74724431406325,-1.2332185550744097,-0.05982241749999139,stopped,trending,89,3.75
ARBUSDT,short,2025-06-14 15:55:00,0.33393295,2025-06-14 21:20:00,0.333765482625575,11.944241163551164,0.7523727239975766,stopped,trending,87,5.416666666666667
APTUSDT,short,2025-06-14 20:00:00,4.40529625,2025-06-14 21:45:00,4.468363899999999,-20.888697542941625,-1.5424198334561252,stopped,trending,98,1.75
ALGOUSDT,short,2025-06-14 18:05:00,0.17681155,2025-06-14 22:05:00,0.17792352077499998,5.859109627076402,0.34343633965761616,stopped,trending,85,4.0
TONUSDT,short,2025-06-14 16:00:00,2.9466259500000005,2025-06-15 00:55:00,2.963423437975,5.538968302221987,0.28517594312598415,stopped,trending,93,8.916666666666666
ONDOUSDT,short,2025-06-15 09:15:00,0.7760118,2025-06-15 10:15:00,0.7827719899999999,-22.987584614561975,-0.9816243882502603,stopped,trending,87,1.0
VETUSDT,short,2025-06-15 06:15:00,0.022230879000000002,2025-06-15 11:05:00,0.02223642004659075,9.786602321859732,0.3858466575559885,stopped,trending,90,4.833333333333333
ALGOUSDT,short,2025-06-15 09:35:00,0.17431280000000002,2025-06-15 11:05:00,0.17584566999999998,-22.93561794925938,-0.9898625680385859,stopped,trending,89,1.5
LTCUSDT,short,2025-06-15 10:15:00,85.19738,2025-06-15 12:50:00,85.742657,-24.77321801388674,-0.750368169009421,stopped,trending,91,2.5833333333333335
ARBUSDT,short,2025-06-15 08:20:00,0.3274362,2025-06-15 13:45:00,0.33116082999999996,-21.724683489839972,-1.2481388333055266,stopped,trending,87,5.416666666666667
AAVEUSDT,long,2025-06-16 04:00:00,277.95891,2025-06-16 07:30:00,291.424215,35.85656495117517,2.9142626658649,completed,trending,91,3.5
TRXUSDT,short,2025-06-16 05:05:00,0.27028479,2025-06-16 07:35:00,0.27181153999999996,-25.027110962828313,-0.6751778305763951,stopped,trending,89,2.5
AAVEUSDT,long,2025-06-16 07:35:00,288.28407,2025-06-16 11:15:00,282.83688,-19.325899438269598,-1.998482442161989,stopped,trending,92,3.6666666666666665
UNIUSDT,long,2025-06-16 04:00:00,7.3586775,2025-06-16 12:45:00,7.8418771000000005,36.37206144771535,3.9962242292314167,completed,trending,92,8.75
ARBUSDT,short,2025-06-16 09:05:00,0.33913035,2025-06-16 13:55:00,0.33946948034999996,21.305197680095883,0.7687270279883601,stopped,trending,85,4.833333333333333
TONUSDT,short,2025-06-16 08:30:00,3.01679085,2025-06-16 14:15:00,3.017542785119362,8.566425681322018,0.2837391585137912,stopped,trending,86,5.75
AAVEUSDT,long,2025-06-16 13:55:00,292.04594999999995,2025-06-16 14:40:00,287.16255,-20.04071456544816,-1.781214454437714,stopped,trending,87,0.75
UNIUSDT,long,2025-06-16 12:45:00,7.855926,2025-06-16 22:35:00,7.6911012,-19.302064830454956,-2.2069411672156773,stopped,trending,87,9.833333333333334
AAVEUSDT,long,2025-06-16 15:05:00,288.12399,2025-06-16 22:35:00,282.48722999999995,-19.551516803284567,-2.065290075637242,stopped,trending,85,7.5
TRXUSDT,long,2025-06-16 14:50:00,0.279709785,2025-06-16 23:45:00,0.27388584,-19.42540568328362,-2.1909932803208862,stopped,high_volatility,85,8.916666666666666
ZECUSDT,short,2025-06-16 12:00:00,45.23737,2025-06-17 00:00:00,42.173076,36.3171136348744,4.132014857638716,completed,trending,95,12.0
LTCUSDT,short,2025-06-17 12:00:00,85.067445,2025-06-17 14:10:00,85.850765,-21.848595122256306,-1.0313287480304472,stopped,trending,89,2.1666666666666665
LTCUSDT,short,2025-06-17 14:30:00,85.43726000000001,2025-06-17 16:50:00,82.7463525,34.775669101246876,1.852635500175814,completed,trending,88,2.3333333333333335
VETUSDT,short,2025-06-17 11:45:00,0.0218880505,2025-06-17 17:10:00,0.021142566,35.453141485427906,2.0135312813948447,completed,trending,85,5.416666666666667
POLUSDT,short,2025-06-17 16:50:00,0.19388301000000002,2025-06-17 19:00:00,0.19683663999999998,-20.113300669788334,-1.6342462433918046,stopped,trending,87,2.1666666666666665
APTUSDT,short,2025-06-17 17:20:00,4.4267855,2025-06-17 19:15:00,4.5049003999999995,-20.13858376383882,-1.8755669829721635,stopped,trending,96,1.9166666666666667
QNTUSDT,short,2025-06-17 11:45:00,101.279335,2025-06-17 19:25:00,101.38061433499999,23.712849690115775,1.69910855927634,stopped,trending,96,7.666666666666667
ZECUSDT,short,2025-06-17 19:00:00,40.99949000000001,2025-06-17 19:45:00,41.663622,-20.124107392432155,-1.7307452156111889,stopped,trending,93,0.75
JUPUSDT,short,2025-06-17 19:55:00,0.40149915,2025-06-18 01:00:00,0.40129779817627503,-0.667728904232728,-0.05982241750000165,stopped,trending,88,5.083333333333333
FILUSDT,short,2025-06-17 20:10:00,2.4147920000000003,2025-06-18 01:05:00,2.4135809818119998,-0.828115410373304,-0.0598224174999788,stopped,trending,85,4.916666666666667
QNTUSDT,short,2025-06-17 20:10:00,100.81956500000001,2025-06-18 01:15:00,101.84173999999999,-21.539839626893265,-1.1244233376229862,stopped,trending,85,5.083333333333333
DOTUSDT,short,2025-06-17 11:55:00,3.7711135000000002,2025-06-18 04:45:00,3.7748846135,23.055072288098437,1.287586120731059,stopped,trending,85,16.833333333333332
LTCUSDT,short,2025-06-18 13:15:00,83.568195,2025-06-18 13:55:00,84.386302,-21.699834629059193,-1.0895077647064144,stopped,trending,87,0.6666666666666666
ARBUSDT,short,2025-06-18 13:30:00,0.29075455,2025-06-18 13:55:00,0.2959957,-19.67597739873501,-1.9135943487384712,stopped,trending,87,0.4166666666666667
FILUSDT,short,2025-06-18 13:30:00,2.31884,2025-06-18 13:55:00,2.3516492999999996,-20.312807731829142,-1.5256796120042704,stopped,trending,91,0.4166666666666667
POLUSDT,short,2025-06-18 13:30:00,0.18759615500000001,2025-06-18 14:00:00,0.19009990999999998,-20.4945849909991,-1.4453856134471244,stopped,trending,87,0.5
UNIUSDT,long,2025-06-19 04:00:00,7.676836499999999,2025-06-19 07:50:00,7.68066340299525,-0.5011688081213101,-0.060177417499996916,stopped,trending,87,3.8333333333333335
UNIUSDT,long,2025-06-19 08:15:00,7.769882999999999,2025-06-19 13:45:00,7.6199724,-18.546658020283807,-2.038319244575488,stopped,trending,88,5.5
AAVEUSDT,short,2025-06-19 12:50:00,262.878495,2025-06-19 14:15:00,251.48568,34.56669788154393,2.597558494685919,completed,trending,85,1.4166666666666667
ONDOUSDT,short,2025-06-19 14:15:00,0.7678159,2025-06-19 17:35:00,0.7674308403261499,-0.7762590579707075,-0.059822417499993195,stopped,trending,85,3.3333333333333335
RENDERUSDT,short,2025-06-19 15:25:00,3.1934025,2025-06-19 19:00:00,3.1918010086462494,-0.8219705380134276,-0.05982241749998311,stopped,trending,85,3.5833333333333335
AAVEUSDT,short,2025-06-19 15:25:00,252.39374000000004,2025-06-19 22:45:00,256.78652999999997,-19.0046844774241,-1.8514084970966131,stopped,trending,85,7.333333333333333
JUPUSDT,short,2025-06-19 05:30:00,0.41249365000000004,2025-06-20 04:40:00,0.39520750499999996,34.5032570282369,2.5074545946222546,completed,trending,86,23.166666666666668
APTUSDT,short,2025-06-19 19:30:00,4.3676151,2025-06-20 06:00:00,4.36542474102735,-0.797169308965156,-0.059822417499990656,stopped,trending,97,10.5
