symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,atr_percentile,adx_value,ema_slope
SOLUSDT,long,2022-11-04 13:45:00,32.966475,2022-11-05 16:15:00,38.2798505,56.25819891203997,10.665797395695167,completed,strong_trend,88,26.5,London Session + NY Session,99.0,43.845626214744,0.12501331400171362
UNIUSDT,long,2022-11-04 13:40:00,7.524760499999999,2022-11-06 23:00:00,7.2213714,-18.68996835269997,-4.139659628303114,stopped,strong_trend,88,57.333333333333336,London Session + NY Session,97.0,45.971998822572104,0.16379648806582545
FILUSDT,long,2022-11-03 07:50:00,6.009003,2022-11-06 23:05:00,5.8318637985,1.1734977475950368,0.37555754884508513,stopped,strong_trend,88,87.25,Asian Session,98.0,59.340979750177716,0.2013130319749353
ALGOUSDT,long,2022-11-07 16:15:00,0.43681829999999994,2022-11-07 21:55:00,0.41886071999999996,-19.275900820205973,-4.2187343023403505,stopped,strong_trend,92,5.666666666666667,London Session + NY Session,97.0,30.390345851879665,0.10727782410677779
VETUSDT,long,2022-11-07 21:30:00,0.027043514999999997,2022-11-07 22:25:00,0.025961012999999998,-19.30610353477678,-4.110613913908747,stopped,strong_trend,92,0.9166666666666666,NY Session,99.0,39.757821819864304,0.033802943200352945
LTCUSDT,long,2022-11-04 15:40:00,68.25411,2022-11-08 03:15:00,64.812123,-17.57586714074999,-5.150127117839495,stopped,strong_trend,88,83.58333333333333,London Session + NY Session,97.0,42.04272375182417,0.18406011285283888
LINKUSDT,long,2022-11-07 21:30:00,8.974485,2022-11-08 03:40:00,8.5820094,-18.900188580239963,-4.480832849127267,stopped,strong_trend,92,6.166666666666667,NY Session,99.0,57.036306914243276,0.06753534036334916
VETUSDT,long,2022-11-08 02:00:00,0.027883935,2022-11-08 03:55:00,0.02642355,-18.707159927562728,-5.344489996659361,stopped,strong_trend,88,1.9166666666666667,Asian Session,96.0,32.74022107139405,0.19138437471887476
SOLUSDT,short,2022-11-13 02:30:00,14.286853,2022-11-14 06:40:00,14.301139852999999,35.248778308101905,7.993463691753927,stopped,strong_trend,85,28.166666666666668,Asian Session,25.0,42.53815787840033,0.10661032465624387
ALGOUSDT,short,2022-11-16 14:30:00,0.27256365,2022-11-18 14:00:00,0.28565536999999996,-18.637647981250964,-4.915820749025035,stopped,strong_trend,87,47.5,London Session + NY Session,78.0,35.65599512698448,0.22438772638627402
AAVEUSDT,short,2022-11-10 16:50:00,68.795585,2022-11-22 11:50:00,52.7553645,64.55785828083859,15.503900620628496,completed,strong_trend,90,283.0,London Session + NY Session,35.0,42.45591801207903,0.12089868389968945
SOLUSDT,short,2022-11-17 15:00:00,13.23338,2022-11-23 19:05:00,13.684861189999998,1.2334870608370414,0.4660514021501088,stopped,strong_trend,88,148.08333333333334,London Session + NY Session,99.0,43.132734087492004,0.015212111936302486
DOGEUSDT,long,2022-11-29 04:15:00,0.101660805,2022-11-30 18:30:00,0.09920160159750001,1.0588783191986328,0.26949022283953306,stopped,strong_trend,90,38.25,Asian Session,82.0,35.10371888360223,0.3596746590623529
ETHUSDT,short,2022-11-10 17:00:00,1318.090625,2022-12-13 13:30:00,1319.408715625,35.25439936330206,8.06798097025741,stopped,strong_trend,88,788.5,NY Session,45.0,50.02582171585063,0.1842540127902208
BNBUSDT,short,2022-12-17 02:35:00,225.90699000000004,2022-12-17 07:40:00,238.37813999999997,-12.726506821499937,-5.633516174731882,stopped,strong_trend,88,5.083333333333333,Asian Session,99.0,57.121511346750786,0.21098153618388
ALGOUSDT,short,2022-12-19 23:25:00,0.1737131,2022-12-20 01:35:00,0.17906888999999998,-15.38965112204842,-3.1948195585134167,stopped,strong_trend,85,2.1666666666666665,Off-Hours,96.0,56.71681248233491,0.12966131066096767
DOGEUSDT,short,2022-12-19 18:30:00,0.07456270000000001,2022-12-22 11:35:00,0.07593621035,0.8096368274407135,0.15267814703633023,stopped,strong_trend,86,65.08333333333333,NY Session,99.0,53.4896026192414,0.38846005194984373
