symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,atr_percentile,adx_value,ema_slope
AVAXUSDT,long,2023-10-05 00:45:00,10.1900925,2023-10-05 04:00:00,10.012977,-20.140309140075118,-1.847158779226009,stopped,weak_trend,90,3.25,Asian Session,89.0,39.46751187365238,0.13075372510714842
AAVEUSDT,long,2023-10-05 02:05:00,67.023495,2023-10-05 05:00:00,68.34481050000001,20.082372484095213,1.1097475198585331,completed,weak_trend,87,2.9166666666666665,Asian Session,82.0,32.22108315405048,0.10294576061366237
SOLUSDT,long,2023-10-05 01:35:00,23.362675499999998,2023-10-05 06:55:00,23.011965,-20.315693822849898,-1.6103316260802327,stopped,weak_trend,87,5.333333333333333,Asian Session,27.0,22.505472369186688,0.06860796841618894
LINKUSDT,long,2023-10-05 07:15:00,7.743869999999999,2023-10-05 12:10:00,7.6519404,-21.18382939691987,-1.2964744464976734,stopped,weak_trend,88,4.916666666666667,Asian Session,16.0,20.994717129680275,0.06966366144149294
AAVEUSDT,long,2023-10-05 07:00:00,69.67482,2023-10-05 12:15:00,68.160771,-19.078302900599997,-2.2818265982603183,stopped,strong_trend,86,5.25,Asian Session,91.0,44.55379051014107,0.09101266914816862
AVAXUSDT,long,2023-10-05 11:05:00,10.243118999999998,2023-10-05 12:15:00,10.091898,-20.46306267809973,-1.5855059318357803,stopped,weak_trend,85,1.1666666666666667,London Session,46.0,30.565164396607155,0.08110790843656555
XMRUSDT,long,2023-10-05 09:55:00,150.89541,2023-10-05 14:45:00,149.90994,-24.16917179249984,-0.7627223004993938,stopped,weak_trend,85,4.833333333333333,London Session,71.0,22.69986810930189,0.03535948486615005
AVAXUSDT,long,2023-10-06 16:30:00,10.735365,2023-10-07 04:15:00,11.0814565,20.54638477270503,1.8949477004740902,completed,weak_trend,97,11.75,London Session + NY Session,86.0,25.14728812460982,0.09862717343913346
SOLUSDT,long,2023-10-07 04:05:00,23.673830999999996,2023-10-07 05:25:00,23.650157168999996,13.06281015401538,1.0032412547167209,stopped,weak_trend,90,1.3333333333333333,Asian Session,84.0,21.964970280999687,0.25184843633517856
AVAXUSDT,long,2023-10-07 14:30:00,10.4182065,2023-10-07 15:40:00,10.4077882935,13.864212243019336,1.4786307288132063,stopped,weak_trend,91,1.1666666666666667,London Session + NY Session,78.0,24.956092451742812,0.05952310082797703
XMRUSDT,long,2023-10-07 21:05:00,154.107015,2023-10-08 12:00:00,153.952907985,11.494827876746776,0.4661869171216336,stopped,weak_trend,92,14.916666666666666,NY Session,99.0,27.744295172870853,0.047126986408094824
UNIUSDT,short,2023-10-12 16:15:00,4.053972,2023-10-12 19:55:00,3.9752866499999997,22.5161572955182,1.0924545607678142,completed,weak_trend,94,3.6666666666666665,London Session + NY Session,99.0,35.84759438296316,0.08536859471074769
SUIUSDT,short,2023-10-12 10:35:00,0.4061968,2023-10-12 20:55:00,0.40872671839999997,0.39908642834238783,0.023714584947506376,stopped,weak_trend,92,10.333333333333334,London Session,92.0,31.934542295678714,0.05405477719105843
ARBUSDT,short,2023-10-12 17:05:00,0.7915040500000001,2023-10-12 21:30:00,0.80242162,-22.778274142486044,-1.4901034452697768,stopped,weak_trend,88,4.416666666666667,NY Session,96.0,23.929028792363766,0.06694885412670441
QNTUSDT,short,2023-10-12 22:50:00,84.25785,2023-10-13 00:55:00,84.96187699999999,-25.153831123916873,-0.946022061861277,stopped,weak_trend,88,2.0833333333333335,Off-Hours,97.0,38.50231008870407,0.0579778720272701
SOLUSDT,short,2023-10-12 16:35:00,21.2403745,2023-10-13 11:30:00,21.549527999999995,-22.597875333833933,-1.5662998144170839,stopped,weak_trend,87,18.916666666666668,London Session + NY Session,99.0,24.786116532206396,0.06208549292741643
SOLUSDT,long,2023-10-19 10:20:00,23.946967499999996,2023-10-19 14:55:00,24.427780000000002,19.790212653127867,1.132079890564453,completed,weak_trend,92,4.583333333333333,London Session,85.0,33.096411413887644,0.045503110613335604
ALGOUSDT,short,2023-10-20 06:00:00,0.0907546,2023-10-20 08:15:00,0.09147137999999999,-17.611344453683706,-0.9002345765393559,stopped,weak_trend,95,2.25,Asian Session,97.0,39.96991325086969,0.02641127640469178
SUIUSDT,short,2023-10-20 10:35:00,0.3820089,2023-10-20 12:25:00,0.375117465,15.238872124270259,1.0068502270758652,completed,weak_trend,95,1.8333333333333333,London Session,85.0,30.046716235244215,0.03984383998117921
AAVEUSDT,long,2023-10-22 03:20:00,70.645305,2023-10-22 04:20:00,73.4942345,15.291699692017627,2.405082324377415,completed,weak_trend,98,1.0,Asian Session,98.0,21.600456812436615,0.10818184298569025
LINKUSDT,long,2023-10-22 22:30:00,9.557776500000001,2023-10-22 22:55:00,10.042976000000001,21.635408712665985,3.0589791256261307,completed,weak_trend,90,0.4166666666666667,Off-Hours,69.0,29.031163159389376,0.3520048033454146
AAVEUSDT,long,2023-10-22 22:30:00,76.49822999999999,2023-10-22 23:10:00,78.796582,20.181771518850187,1.7588007390367235,completed,weak_trend,91,0.6666666666666666,Off-Hours,36.0,25.87728039207671,0.17073096272636218
SOLUSDT,long,2023-10-22 22:30:00,28.95447,2023-10-23 00:25:00,28.734971265000002,1.0265010919706405,0.07878277646638099,stopped,weak_trend,94,1.9166666666666667,Off-Hours,23.0,21.563548105453954,0.12505484958684213
APTUSDT,long,2023-10-23 00:05:00,6.0840405,2023-10-23 01:25:00,6.36111785,17.119817539490256,2.731931530892177,completed,weak_trend,92,1.3333333333333333,Asian Session,49.0,21.345087466867273,0.11280427471965339
ADAUSDT,long,2023-10-23 00:25:00,0.26363175,2023-10-23 01:25:00,0.268475695,15.831844183564924,1.0268959249407634,completed,weak_trend,88,1.0,Asian Session,90.0,36.15408067033696,0.05944267479986808
AVAXUSDT,long,2023-10-23 00:25:00,10.035015,2023-10-23 03:45:00,10.270862000000001,16.208751357900205,1.3460162040864083,completed,weak_trend,85,3.3333333333333335,Asian Session,46.0,28.014620471216002,0.06015140203529109
AAVEUSDT,long,2023-10-23 01:35:00,80.14004999999999,2023-10-23 06:05:00,84.36979400000001,15.32477573658013,3.187082225965696,completed,strong_trend,86,4.5,Asian Session,83.0,46.464788898278655,0.2792423723933799
ADAUSDT,long,2023-10-23 02:00:00,0.26643314999999995,2023-10-23 07:50:00,0.2631366,-16.679744322262284,-1.346609219798645,stopped,weak_trend,86,5.833333333333333,Asian Session,99.0,43.618723850573865,0.050505845366750124
AVAXUSDT,long,2023-10-23 04:05:00,10.207101,2023-10-23 07:50:00,10.1189214495,1.1403973172763155,0.1227756897025716,stopped,weak_trend,88,3.75,Asian Session,76.0,39.42318856674,0.08765648677597787
BTCUSDT,long,2023-10-23 06:15:00,30773.7792,2023-10-23 07:50:00,30431.538,-375.9041244600004,-1.221507836320605,stopped,weak_trend,88,1.5833333333333333,Asian Session,99.0,54.4725085271816,0.060532943332832954
AAVEUSDT,long,2023-10-30 09:50:00,86.16306,2023-10-30 14:25:00,84.70521000000001,-15.518275484999934,-1.8010357901634337,stopped,strong_trend,92,4.583333333333333,London Session,97.0,35.44249264427307,0.08944173319449372
ARBUSDT,long,2023-10-30 10:00:00,0.9546771,2023-10-30 14:40:00,0.94695564645,1.036097868824613,0.09875215524194841,stopped,weak_trend,92,4.666666666666667,London Session,96.0,33.35842206936399,0.043652681741802535
DOGEUSDT,long,2023-10-30 14:45:00,0.07005501,2023-10-30 16:40:00,0.06922071,-17.576758161215928,-1.3002662422002313,stopped,weak_trend,94,1.9166666666666667,London Session + NY Session,99.0,20.71719136188947,0.07497590963952583
LTCUSDT,long,2023-10-30 09:55:00,68.97447,2023-10-30 17:10:00,68.58158476499999,0.04439825312176637,0.0029258686795646917,stopped,weak_trend,92,7.25,London Session,99.0,28.72939672598429,0.044997291034955075
